id,itemName,venue_id,sub_venue_id,serviceCategory_id,feeRules,guestMin,guestMax,includedInVenue,visibleInCalculator,vendor_id,active,service_id,description
77,Love story photo-videotrip around Bali,0.0,,,,,,False,False,,True,,
78,Solo,0.0,,,,,,False,False,,True,,
79,Duo,0.0,,,,,,False,False,,True,,
80,Saxophonist duo,0.0,,,,,,False,False,,True,,
81,Trio,0.0,,,,,,False,False,,True,,
82,Quartet,0.0,,,,,,False,False,,True,,
83,Violin & guitar,0.0,,,,,,False,False,,True,,
84,Violin & cello,0.0,,,,,,False,False,,True,,
85,Violin duo & cello,0.0,,,,,,False,False,,True,,
86,Solo,0.0,,,,,,False,False,,True,,
87,Duo,0.0,,,,,,False,False,,True,,
88,Trio,0.0,,,,,,False,False,,True,,
89,Quartet,0.0,,,,,,False,False,,True,,
90,Full band,0.0,,,,,,False,False,,True,,
91,DJ performance,0.0,,,,,,False,False,,True,,
92,Fire dance,0.0,,,,,,False,False,,True,,
93,Kecak traditional performance,0.0,,,,,,False,False,,True,,
94,Joged Bungbung traditional dance,0.0,,,,,,False,False,,True,,
95,Legong mini traditional dance,0.0,,,,,,False,False,,True,,
96,Rindik traditional live music,0.0,,,,,,False,False,,True,,
97,Gender traditional live music,0.0,,,,,,False,False,,True,,
98,Fireworks 200,0.0,,,,,,False,False,,True,,
99,Fireworks 300,0.0,,,,,,False,False,,True,,
100,Firework 500,0.0,,,,,,False,False,,True,,
